게임 이름,플랫폼 이름,이미지,원가,할인율,할인가,장르,연령 등급,유저 평점,유저 리뷰,사이트 URL
Architect Life - Sketch House Pack,Steam,https://image.directg.net/upload/product/goods_1750323687_simg.jpg,"\5,600",13%,"\4,900",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005508
Architect Life - Hobbies Pack,Steam,https://image.directg.net/upload/product/goods_1750323752_simg.jpg,"\8,900",11%,"\7,900",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005509
Dead by Daylight: Five Nights at Freddy’s,Steam,https://image.directg.net/upload/product/goods_1753338299_simg.jpg,"\5,500",할인 없음,"\5,500",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005612
Victoria 3: Charters of Commerce,Steam,https://image.directg.net/upload/product/goods_1749790807_simg.jpg,"\22,000",10%,"\19,800",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005495
TRON: Catalyst,Steam,https://image.directg.net/upload/product/goods_1750301306_simg.jpg,"\27,000",8%,"\24,800",액션/어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005501
The Alters,Steam,https://image.directg.net/upload/product/goods_1749780868_simg.jpg,"\37,500",9%,"\34,000",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005488
The Alters: Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1749781183_simg.jpg,"\53,600",10%,"\48,000",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005489
Stellar Blade,Steam,https://image.directg.net/upload/product/goods_1747369057_simg.jpg,"\62,800",5%,"\59,500",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005420
Stellar Blade Complete Edition,Steam,https://image.directg.net/upload/product/goods_1747369869_simg.jpg,"\83,800",5%,"\79,500",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005421
Across the Obelisk: The Sunken Temple,Steam,https://image.directg.net/upload/product/goods_1749691910_simg.jpg,"\5,600",11%,"\5,000",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005482
"Across the Obelisk: Tulah, the Spider Queen",Steam,https://image.directg.net/upload/product/goods_1749693273_simg.jpg,"\5,600",11%,"\5,000",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005483
Dune: Awakening,Steam,https://image.directg.net/upload/product/goods_1749438977_simg.jpg,"\49,900",8%,"\45,800",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005456
Dune: Awakening Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1749445620_simg.jpg,"\70,900",9%,"\64,800",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005457
Dune: Awakening Ultimate Edition,Steam,https://image.directg.net/upload/product/goods_1749445627_simg.jpg,"\91,900",9%,"\83,800",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005458
"Northgard - Gardariki, Clan of the Hippogriff",Steam,https://image.directg.net/upload/product/goods_1749447063_simg.jpg,"\5,600",11%,"\5,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005459
Lies of P: Overture,Steam,https://image.directg.net/upload/product/goods_1750298584_simg.jpg,"\29,800",할인 없음,"\29,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005499
Street Fighter 6 Years 1-2 Fighters Edition,Steam,https://image.directg.net/upload/product/goods_1749100608_simg.jpg,"\69,800",11%,"\61,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005455
Fallout 76: Atomic Angler Bundle,Steam,https://image.directg.net/upload/product/goods_1749000728_simg.jpg,"\32,800",9%,"\29,800",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005453
Spray Paint Simulator,Steam,https://image.directg.net/upload/product/goods_1750386122_simg.jpg,"\16,500",7%,"\15,400",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005513
Oddsparks: An Automation Adventure – Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1748397494_simg.jpg,"\42,900",11%,"\38,000",전략/시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005446
Granblue Fantasy Versus: Rising - Color Set: Battle Pass Pack 3,Steam,https://image.directg.net/upload/product/goods_1749706696_simg.jpg,"\1,200",17%,"\1,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005484
Granblue Fantasy Versus: Rising - Weapon Skin Set: Battle Pass Pack 3,Steam,https://image.directg.net/upload/product/goods_1749706776_simg.jpg,"\3,500",14%,"\3,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005485
