게임 이름,원가,할인가,사이트 URL,할인율,유저 평점,유저 리뷰,플랫폼 이름,이미지,장르,연령 등급
Puyo Puyo Tetris 2,"\49,800","\43,000",https://directg.net/game/game_page.html?product_code=50002564,14%,,,Steam,https://image.directg.net/upload/product/goods_1615440327_simg.jpg,액션,전체 이용가
Overcooked! All You Can Eat,"\41,000","\39,800",https://directg.net/game/game_page.html?product_code=50003493,3%,,,Steam,https://image.directg.net/upload/product/goods_1657529710_simg.jpg,시뮬레이션,전체 이용가
Mr. Prepper,"\21,500","\19,800",https://directg.net/game/game_page.html?product_code=50005086,8%,,,Steam,https://image.directg.net/upload/product/goods_1732091947_simg.jpg,액션/어드벤쳐,전체 이용가
QV,"\14,800","\14,800",https://directg.net/game/game_page.html?product_code=50002573,0%,,,Steam,https://image.directg.net/upload/product/goods_1616036242_simg.jpg,퍼즐,전체 이용가
The Outer Worlds: Murder on Eridanos,"\17,000","\16,100",https://directg.net/game/game_page.html?product_code=50005629,5%,,,Steam,https://image.directg.net/upload/product/goods_1753415517_simg.jpg,롤플레잉,19세 이용가
The Outer Worlds: Non-Mandatory Corporate-Sponsored Bundle,"\58,200","\54,000",https://directg.net/game/game_page.html?product_code=50005630,7%,,,Steam,https://image.directg.net/upload/product/goods_1753415814_simg.jpg,롤플레잉,19세 이용가
Pile Up! Box by Box,"\15,000","\13,800",https://directg.net/game/game_page.html?product_code=50004441,8%,,,Steam,https://image.directg.net/upload/product/goods_1698730511_simg.jpg,퍼즐,전체 이용가
Crusader Kings III: Northern Lords,"\15,000","\13,500",https://directg.net/game/game_page.html?product_code=50002565,10%,,,Steam,https://image.directg.net/upload/product/goods_1615887726_simg.jpg,전략,19세 이용가
Surviving Mars: In-Dome Buildings Pack,"\5,600","\5,000",https://directg.net/game/game_page.html?product_code=50002566,11%,,,Steam,https://image.directg.net/upload/product/goods_1615888873_simg.jpg,시뮬레이션,12세 이용가
Total War: THREE KINGDOMS - Fates Divided,"\10,500","\9,400",https://directg.net/game/game_page.html?product_code=50002553,10%,,,Steam,https://image.directg.net/upload/product/goods_1614679750_simg.jpg,전략,12세 이용가
Size Matters,"\11,000","\9,900",https://directg.net/game/game_page.html?product_code=50003969,10%,,,Steam,https://image.directg.net/upload/product/goods_1675735934_simg.jpg,시뮬레이션,전체 이용가
Plebby Quest: The Promised Land,"\10,500","\9,800",https://directg.net/game/game_page.html?product_code=50002655,7%,,,Steam,https://image.directg.net/upload/product/goods_1618195643_simg.jpg,어드벤쳐,12세 이용가
Plebby Quest: The Crusades - Plebby Quest Edition,"\27,900","\26,800",https://directg.net/game/game_page.html?product_code=50002656,4%,,,Steam,https://image.directg.net/upload/product/goods_1618215698_simg.jpg,어드벤쳐,12세 이용가
Loop Hero,"\16,500","\15,800",https://directg.net/game/game_page.html?product_code=50003122,4%,,,Steam,https://image.directg.net/upload/product/goods_1639027740_simg.jpg,롤플레잉,전체 이용가
The Life and Suffering of Sir Brante,"\20,500","\18,700",https://directg.net/game/game_page.html?product_code=50003735,9%,,,Steam,https://image.directg.net/upload/product/goods_1666579787_simg.jpg,어드벤쳐,15세 이용가
Overpass,"\31,000","\25,800",https://directg.net/game/game_page.html?product_code=50002592,17%,,,Steam,https://image.directg.net/upload/product/goods_1616548712_simg.jpg,레이싱/스포츠,전체 이용가
Overpass Deluxe Edition,"\41,600","\34,800",https://directg.net/game/game_page.html?product_code=50002593,16%,,,Steam,https://image.directg.net/upload/product/goods_1616549571_simg.jpg,레이싱/스포츠,전체 이용가
Shutter Nyan! Enhanced Edition,"\15,000","\15,000",https://directg.net/game/game_page.html?product_code=50003732,0%,,,Steam,https://image.directg.net/upload/product/goods_1666246213_simg.jpg,액션/어드벤쳐,전체 이용가
The Legend of Heroes: Sen no Kiseki II KAI -The Erebonian Civil War-,"\36,800","\36,800",https://directg.net/game/game_page.html?product_code=50002529,0%,,,Steam,https://image.directg.net/upload/product/goods_1613383374_simg.jpg,롤플레잉,12세 이용가
Yakuza: Like a Dragon,"\19,800","\17,800",https://directg.net/game/game_page.html?product_code=50002554,10%,,,Steam,https://image.directg.net/upload/product/goods_1614680761_simg.jpg,액션,19세 이용가
Yakuza: Like a Dragon Legendary Hero Edition,"\29,800","\26,800",https://directg.net/game/game_page.html?product_code=50002556,10%,,,Steam,https://image.directg.net/upload/product/goods_1614930684_simg.jpg,액션,19세 이용가
Yakuza: Like a Dragon Hero Edition,"\22,800","\20,800",https://directg.net/game/game_page.html?product_code=50002560,9%,,,Steam,https://image.directg.net/upload/product/goods_1614928915_simg.jpg,액션,19세 이용가
TRANSFORMERS: BATTLEGROUNDS - Shattered Spacebridge,"\2,200","\2,000",https://directg.net/game/game_page.html?product_code=50003221,9%,,,Steam,https://image.directg.net/upload/product/goods_1645064979_simg.jpg,전략,전체 이용가
DOTORI,"\12,500","\12,500",https://directg.net/game/game_page.html?product_code=50002544,0%,,,Steam,https://image.directg.net/upload/product/goods_1613983694_simg.jpg,액션,전체 이용가
Lumberjack's Dynasty,"\22,900","\20,900",https://directg.net/game/game_page.html?product_code=50004833,9%,,,Steam,https://image.directg.net/upload/product/goods_1721183264_simg.jpg,시뮬레이션,12세 이용가
Moving Out - Movers in Paradise,"\7,900","\7,500",https://directg.net/game/game_page.html?product_code=50003483,5%,,,Steam,https://image.directg.net/upload/product/goods_1657614253_simg.jpg,액션,전체 이용가
Persona 5 Strikers,"\69,800","\59,800",https://directg.net/game/game_page.html?product_code=50002530,14%,,,Steam,https://image.directg.net/upload/product/goods_1613384958_simg.jpg,액션,15세 이용가
Persona 5 Strikers - Digital Deluxe Edition,"\74,800","\62,000",https://directg.net/game/game_page.html?product_code=50002531,17%,,,Steam,https://image.directg.net/upload/product/goods_1613385951_simg.jpg,액션,15세 이용가
Two Point Hospital: A Stitch in Time,"\9,500","\8,800",https://directg.net/game/game_page.html?product_code=50002831,7%,,,Steam,https://image.directg.net/upload/product/goods_1626944301_simg.jpg,시뮬레이션,전체 이용가
Curse of the Dead Gods,"\22,800","\22,800",https://directg.net/game/game_page.html?product_code=50002374,0%,,,Steam,https://image.directg.net/upload/product/goods_1614131491_simg.jpg,액션,15세 이용가
Worms Rumble - Cats & Dogs Double Pack,"\5,500","\5,200",https://directg.net/game/game_page.html?product_code=50003511,5%,,,Steam,https://image.directg.net/upload/product/goods_1657101536_simg.jpg,액션,전체 이용가
Worms Rumble - Honor & Death Pack,"\5,500","\5,200",https://directg.net/game/game_page.html?product_code=50003513,5%,,,Steam,https://image.directg.net/upload/product/goods_1657104582_simg.jpg,액션,전체 이용가
Rustler,"\26,000","\24,800",https://directg.net/game/game_page.html?product_code=50002726,5%,,,Steam,https://image.directg.net/upload/product/goods_1622016521_simg.jpg,어드벤쳐,19세 이용가
Necromunda: Underhive Wars - Gangs Bundle,"\9,000","\9,000",https://directg.net/game/game_page.html?product_code=50002535,0%,,,Steam,https://image.directg.net/upload/product/goods_1613695945_simg.jpg,액션,15세 이용가
Necromunda: Underhive Wars - Gold Edition,"\34,000","\34,000",https://directg.net/game/game_page.html?product_code=50002536,0%,,,Steam,https://image.directg.net/upload/product/goods_1613616238_simg.jpg,액션,15세 이용가
Tales from the Borderlands,"\22,800","\21,000",https://directg.net/game/game_page.html?product_code=50002538,8%,,,Steam,https://image.directg.net/upload/product/goods_1613559344_simg.jpg,어드벤쳐,19세 이용가
Tales from the Borderlands,"\22,800","\21,000",https://directg.net/game/game_page.html?product_code=50002549,8%,,,Epic Games,https://image.directg.net/upload/product/goods_1614143543_simg.jpg,어드벤쳐,19세 이용가
Imperator: Rome - Heirs of Alexander Content Pack,"\11,000","\9,900",https://directg.net/game/game_page.html?product_code=50002532,10%,,,Steam,https://image.directg.net/upload/product/goods_1613438903_simg.jpg,전략/시뮬레이션,12세 이용가
For The King: Lost Civilization Adventure Pack,"\6,500","\6,000",https://directg.net/game/game_page.html?product_code=50002561,8%,,,Steam,https://image.directg.net/upload/product/goods_1614920313_simg.jpg,롤플레잉,12세 이용가
GUNBARICH,"\10,500","\9,800",https://directg.net/game/game_page.html?product_code=50004114,7%,,,Steam,https://image.directg.net/upload/product/goods_1681119574_simg.jpg,액션,전체 이용가
For The King - Deluxe Edition,"\22,900","\19,800",https://directg.net/game/game_page.html?product_code=50003117,14%,,,Steam,https://image.directg.net/upload/product/goods_1639013939_simg.png,어드벤쳐,12세 이용가
Assetto Corsa Competizione - British GT Pack,"\16,000","\16,000",https://directg.net/game/game_page.html?product_code=50003317,0%,,,Steam,https://image.directg.net/upload/product/goods_1649296805_simg.jpg,레이싱/스포츠,전체 이용가
Northgard - The Official Soundtrack,"\5,500","\5,000",https://directg.net/game/game_page.html?product_code=50002823,9%,,,Steam,https://image.directg.net/upload/product/goods_1626780756_simg.jpg,시뮬레이션,12세 이용가
The Legend of Heroes: Sen no Kiseki I KAI -Thors Military Academy 1204-,"\36,800","\36,800",https://directg.net/game/game_page.html?product_code=50002482,0%,,,Steam,https://image.directg.net/upload/product/goods_1611109582_simg.jpg,롤플레잉,12세 이용가
The Falconeer - The Hunter,"\2,200","\1,900",https://directg.net/game/game_page.html?product_code=50002852,14%,,,Steam,https://image.directg.net/upload/product/goods_1627435607_simg.jpg,액션/어드벤쳐,12세 이용가
The Falconeer Official Soundtrack,"\10,500","\9,800",https://directg.net/game/game_page.html?product_code=50002854,7%,,,Steam,https://image.directg.net/upload/product/goods_1627436392_simg.jpg,액션/어드벤쳐,12세 이용가
Beyond Eden: Dear Edward Soundtrack,"\6,000","\6,000",https://directg.net/game/game_page.html?product_code=50002450,0%,,,Steam,https://image.directg.net/upload/product/goods_1612142109_simg.jpg,어드벤쳐,19세 이용가
Prison Architect - Going Green,"\11,000","\9,900",https://directg.net/game/game_page.html?product_code=50002497,10%,,,Steam,https://image.directg.net/upload/product/goods_1611803176_simg.jpg,전략/시뮬레이션,19세 이용가
Journey to the Savage Planet(Steam),"\31,000","\29,800",https://directg.net/game/game_page.html?product_code=50002498,4%,,,Steam,https://image.directg.net/upload/product/goods_1611900754_simg.jpg,액션,12세 이용가
Journey to the Savage Planet: Hot Garbage(Steam),"\8,000","\8,000",https://directg.net/game/game_page.html?product_code=50002499,0%,,,Steam,https://image.directg.net/upload/product/goods_1611900988_simg.jpg,액션,12세 이용가
Journey to the Savage Planet Deluxe Edition,"\35,100","\33,000",https://directg.net/game/game_page.html?product_code=50002500,6%,,,Steam,https://image.directg.net/upload/product/goods_1611901829_simg.jpg,액션,12세 이용가
Sid Meier's Civilization VI - Vietnam & Kublai Khan Pack,"\11,000","\10,300",https://directg.net/game/game_page.html?product_code=50002501,6%,,,Steam,https://image.directg.net/upload/product/goods_1611908428_simg.jpg,전략,12세 이용가
Sid Meier's Civilization VI - Vietnam & Kublai Khan Pack,"\11,000","\10,300",https://directg.net/game/game_page.html?product_code=50002502,6%,,,Epic Games,https://image.directg.net/upload/product/goods_1611908536_simg.jpg,전략,12세 이용가
Yakuza Remastered Collection,"\39,800","\33,000",https://directg.net/game/game_page.html?product_code=50004518,17%,,,Steam,https://image.directg.net/upload/product/goods_1702543215_simg.jpg,액션,19세 이용가
Yakuza 3 Remastered,"\19,800","\16,500",https://directg.net/game/game_page.html?product_code=50002493,17%,,,Steam,https://image.directg.net/upload/product/goods_1750394600_simg.jpg,액션,19세 이용가
Yakuza 4 Remastered,"\19,800","\16,500",https://directg.net/game/game_page.html?product_code=50002494,17%,,,Steam,https://image.directg.net/upload/product/goods_1750394665_simg.jpg,액션,19세 이용가
Yakuza 5 Remastered,"\19,800","\16,500",https://directg.net/game/game_page.html?product_code=50002495,17%,,,Steam,https://image.directg.net/upload/product/goods_1750394733_simg.jpg,액션,19세 이용가
Olija,"\15,500","\14,800",https://directg.net/game/game_page.html?product_code=50003123,5%,,,Steam,https://image.directg.net/upload/product/goods_1639028421_simg.jpg,액션/어드벤쳐,12세 이용가
Disjunction,"\16,500","\15,800",https://directg.net/game/game_page.html?product_code=50003951,4%,,,Steam,https://image.directg.net/upload/product/goods_1675402190_simg.jpg,액션,15세 이용가
Märchen Forest,"\39,800","\39,800",https://directg.net/game/game_page.html?product_code=50002483,0%,,,Steam,https://image.directg.net/upload/product/goods_1611110070_simg.jpg,어드벤쳐,12세 이용가
Tale of Immortal,"\20,500","\19,800",https://directg.net/game/game_page.html?product_code=50003671,3%,,,Steam,https://image.directg.net/upload/product/goods_1728550349_simg.jpg,액션/RPG,15세 이용가
Snowtopia: Ski Resort Tycoon,"\26,000","\24,900",https://directg.net/game/game_page.html?product_code=50002568,4%,,,Steam,https://image.directg.net/upload/product/goods_1615958458_simg.jpg,퍼즐,전체 이용가
Dead Cells: Fatal Falls,"\5,500","\5,300",https://directg.net/game/game_page.html?product_code=50003350,4%,,,Steam,https://image.directg.net/upload/product/goods_1651123859_simg.jpg,액션,15세 이용가
Tiny Lands,"\7,500","\6,900",https://directg.net/game/game_page.html?product_code=50002514,8%,,,Steam,https://image.directg.net/upload/product/goods_1612515367_simg.jpg,퍼즐,전체 이용가
Beyond Eden: Dear Edward,"\43,000","\43,000",https://directg.net/game/game_page.html?product_code=50002449,0%,,,Steam,https://image.directg.net/upload/product/goods_1607422174_simg.jpg,어드벤쳐,19세 이용가
Beyond Eden: Dear Edward & Soundtrack,"\49,000","\47,500",https://directg.net/game/game_page.html?product_code=50002451,3%,,,Steam,https://image.directg.net/upload/product/goods_1607423536_simg.jpg,어드벤쳐,19세 이용가
DOOM Eternal,"\44,500","\41,500",https://directg.net/game/game_page.html?product_code=50004947,7%,,,Steam,https://image.directg.net/upload/product/goods_1727331999_simg.jpg,액션,19세 이용가
DOOM Eternal Deluxe Edition,"\78,400","\71,500",https://directg.net/game/game_page.html?product_code=50004948,9%,,,Steam,https://image.directg.net/upload/product/goods_1727332120_simg.jpg,액션,19세 이용가
Don't Be Afraid,"\11,000","\9,900",https://directg.net/game/game_page.html?product_code=50004317,10%,,,Steam,https://image.directg.net/upload/product/goods_1692607587_simg.jpg,어드벤쳐,15세 이용가
Worms Rumble - Armageddon Weapon Skin Pack,"\3,300","\3,100",https://directg.net/game/game_page.html?product_code=50003509,6%,,,Steam,https://image.directg.net/upload/product/goods_1657100686_simg.jpg,액션,전체 이용가
Worms Rumble - Captain & Shark Double Pack,"\5,500","\5,200",https://directg.net/game/game_page.html?product_code=50003510,5%,,,Steam,https://image.directg.net/upload/product/goods_1657100907_simg.jpg,액션,전체 이용가
Worms Rumble - Emote Pack,"\4,400","\4,200",https://directg.net/game/game_page.html?product_code=50003512,5%,,,Steam,https://image.directg.net/upload/product/goods_1657104363_simg.jpg,액션,전체 이용가
Colossus Down,"\19,500","\17,600",https://directg.net/game/game_page.html?product_code=50002681,10%,,,Steam,https://image.directg.net/upload/product/goods_1619690671_simg.jpg,액션,19세 이용가
Tropico 6 - Caribbean Skies,"\17,700","\14,800",https://directg.net/game/game_page.html?product_code=50002454,16%,,,Steam,https://image.directg.net/upload/product/goods_1607578518_simg.jpg,시뮬레이션,15세 이용가
Ghostrunner - Winter Pack,"\2,200","\1,900",https://directg.net/game/game_page.html?product_code=50002537,14%,,,Steam,https://image.directg.net/upload/product/goods_1613524575_simg.jpg,액션,19세 이용가
Alba: A Wildlife Adventure,"\18,500","\16,500",https://directg.net/game/game_page.html?product_code=50002569,11%,,,Steam,https://image.directg.net/upload/product/goods_1615960047_simg.jpg,퍼즐,전체 이용가
Shady Part of Me,"\17,800","\17,800",https://directg.net/game/game_page.html?product_code=50002453,0%,,,Steam,https://image.directg.net/upload/product/goods_1607567748_simg.jpg,액션,전체 이용가
DJMAX RESPECT V - GIRLS' FRONTLINE PACK,"\4,800","\4,400",https://directg.net/game/game_page.html?product_code=50002771,8%,,,Steam,https://image.directg.net/upload/product/goods_1623635953_simg.jpg,액션,15세 이용가
DJMAX RESPECT V - CHUNITHM PACK,"\9,800","\9,000",https://directg.net/game/game_page.html?product_code=50002772,8%,,,Steam,https://image.directg.net/upload/product/goods_1623636432_simg.jpg,액션,15세 이용가
DJMAX RESPECT V - Portable 3 PACK,"\19,800","\18,000",https://directg.net/game/game_page.html?product_code=50002773,9%,,,Steam,https://image.directg.net/upload/product/goods_1623649881_simg.jpg,액션,15세 이용가
DJMAX RESPECT V - Portable 3 Original Soundtrack(REMASTERED),"\9,800","\9,000",https://directg.net/game/game_page.html?product_code=50002774,8%,,,Steam,https://image.directg.net/upload/product/goods_1623650191_simg.jpg,액션,15세 이용가
DJMAX RESPECT V - Tok! Tok! Tok! Gear Pack,"\9,800","\9,000",https://directg.net/game/game_page.html?product_code=50003207,8%,,,Steam,https://image.directg.net/upload/product/goods_1644559471_simg.jpg,액션,15세 이용가
Drawn to Life: Two Realms,"\11,400","\9,900",https://directg.net/game/game_page.html?product_code=50002445,13%,,,Steam,https://image.directg.net/upload/product/goods_1606991292_simg.jpg,어드벤쳐,전체 이용가
Monster Sanctuary,"\20,500","\19,800",https://directg.net/game/game_page.html?product_code=50003480,3%,,,Steam,https://image.directg.net/upload/product/goods_1657612291_simg.jpg,어드벤쳐,15세 이용가
Monster Sanctuary Deluxe Edition,"\31,000","\29,800",https://directg.net/game/game_page.html?product_code=50003481,4%,,,Steam,https://image.directg.net/upload/product/goods_1657613198_simg.jpg,액션/어드벤쳐,15세 이용가
Phoenix Point: Complete Edition,"\31,300","\29,800",https://directg.net/game/game_page.html?product_code=50003546,5%,,,Steam,https://image.directg.net/upload/product/goods_1658453685_simg.jpg,전략,19세 이용가
Nine Witches: Family Disruption,"\20,500","\18,500",https://directg.net/game/game_page.html?product_code=50003578,10%,,,Steam,https://image.directg.net/upload/product/goods_1659683771_simg.jpg,액션/어드벤쳐,15세 이용가
Arise: A Simple Story,"\21,500","\19,800",https://directg.net/game/game_page.html?product_code=50004389,8%,,,Steam,https://image.directg.net/upload/product/goods_1696398685_simg.jpg,어드벤쳐,전체 이용가
El Hijo - A Wild West Tale,"\20,500","\3,900",https://directg.net/game/game_page.html?product_code=50004455,81%,,,Steam,https://image.directg.net/upload/product/goods_1699426227_simg.jpg,전략,12세 이용가
PHOGS!,"\26,000","\24,200",https://directg.net/game/game_page.html?product_code=50003066,7%,,,Steam,https://image.directg.net/upload/product/goods_1636007830_simg.jpg,어드벤쳐,전체 이용가
Morbid: The Seven Acolytes,"\26,000","\24,900",https://directg.net/game/game_page.html?product_code=50005385,4%,,,Steam,https://image.directg.net/upload/product/goods_1745545619_simg.jpg,액션/어드벤쳐,19세 이용가
Total War: WARHAMMER II - The Twisted & The Twilight,"\10,500","\9,400",https://directg.net/game/game_page.html?product_code=50003181,10%,,,Steam,https://image.directg.net/upload/product/goods_1643102742_simg.jpg,전략,15세 이용가
Chronos: Before the Ashes,"\31,000","\29,800",https://directg.net/game/game_page.html?product_code=50002399,4%,,,Steam,https://image.directg.net/upload/product/goods_1605864110_simg.jpg,어드벤쳐,12세 이용가
Empire of Sin - Standard Edition,"\44,000","\39,800",https://directg.net/game/game_page.html?product_code=50002439,10%,,,Steam,https://image.directg.net/upload/product/goods_1605842109_simg.jpg,롤플레잉,19세 이용가
Empire of Sin - Deluxe Edition,"\55,000","\49,800",https://directg.net/game/game_page.html?product_code=50002440,9%,,,Steam,https://image.directg.net/upload/product/goods_1605842861_simg.jpg,롤플레잉,19세 이용가
Empire of Sin - Premium Edition,"\77,000","\69,800",https://directg.net/game/game_page.html?product_code=50002441,9%,,,Steam,https://image.directg.net/upload/product/goods_1605844525_simg.jpg,롤플레잉,19세 이용가
Empire of Sin - Expansion Pass,"\28,000","\25,300",https://directg.net/game/game_page.html?product_code=50002443,10%,,,Steam,https://image.directg.net/upload/product/goods_1606897966_simg.jpg,롤플레잉,19세 이용가
Empire of Sin - Deluxe Pack,"\14,000","\12,800",https://directg.net/game/game_page.html?product_code=50002444,9%,,,Steam,https://image.directg.net/upload/product/goods_1606897332_simg.jpg,롤플레잉,19세 이용가
Worms Rumble,"\15,500","\14,900",https://directg.net/game/game_page.html?product_code=50003507,4%,,,Steam,https://image.directg.net/upload/product/goods_1657095740_simg.jpg,액션,전체 이용가
Worms Rumble - Action All-Stars Pack,"\5,500","\5,200",https://directg.net/game/game_page.html?product_code=50003508,5%,,,Steam,https://image.directg.net/upload/product/goods_1657095926_simg.jpg,액션,전체 이용가
Worms Rumble - Legends Pack,"\8,500","\8,200",https://directg.net/game/game_page.html?product_code=50003514,4%,,,Steam,https://image.directg.net/upload/product/goods_1657104794_simg.jpg,액션,전체 이용가
Worms Rumble - New Challenger Pack,"\2,200","\2,100",https://directg.net/game/game_page.html?product_code=50003515,5%,,,Steam,https://image.directg.net/upload/product/goods_1657179857_simg.jpg,액션,전체 이용가
Worms Rumble Deluxe Edition,"\22,500","\21,000",https://directg.net/game/game_page.html?product_code=50003516,7%,,,Steam,https://image.directg.net/upload/product/goods_1657180469_simg.jpg,액션,전체 이용가
Evan's Remains,"\7,500","\6,900",https://directg.net/game/game_page.html?product_code=50002835,8%,,,Steam,https://image.directg.net/upload/product/goods_1627026925_simg.jpg,퍼즐,12세 이용가
Project Wingman,품절,품절,https://directg.net/game/game_page.html?product_code=50003884,0%,,,Steam,https://image.directg.net/upload/product/goods_1671778759_simg.jpg,액션,15세 이용가
Warlock 2: The Exiled Complete Edition,"\52,400","\47,800",https://directg.net/game/game_page.html?product_code=50003479,9%,,,Steam,https://image.directg.net/upload/product/goods_1656583077_simg.jpg,전략,12세 이용가
Little Gods of the Abyss,"\15,500","\14,300",https://directg.net/game/game_page.html?product_code=50004343,8%,,,Steam,https://image.directg.net/upload/product/goods_1693882730_simg.jpg,어드벤쳐,12세 이용가
Bridge Constructor: The Walking Dead,"\11,000","\9,900",https://directg.net/game/game_page.html?product_code=50004022,10%,,,Steam,https://image.directg.net/upload/product/goods_1677809748_simg.jpg,시뮬레이션,19세 이용가
Sid Meier's Civilization VI: Babylon Pack,"\5,900","\5,600",https://directg.net/game/game_page.html?product_code=50002431,5%,,,Steam,https://image.directg.net/upload/product/goods_1612148849_simg.jpg,전략,12세 이용가
Sid Meier's Civilization VI: Babylon Pack,"\5,900","\5,600",https://directg.net/game/game_page.html?product_code=50002432,5%,,,Epic Games,https://image.directg.net/upload/product/goods_1612148871_simg.jpg,전략,12세 이용가
Assetto Corsa Competizione - 2020 GT World Challenge Pack,"\11,000","\11,000",https://directg.net/game/game_page.html?product_code=50003319,0%,,,Steam,https://image.directg.net/upload/product/goods_1649297253_simg.jpg,레이싱/스포츠,전체 이용가
Super Animal Royale Super Edition DLC,"\17,400","\16,500",https://directg.net/game/game_page.html?product_code=50004245,5%,,,Steam,https://image.directg.net/upload/product/goods_1688439280_simg.jpg,액션,전체 이용가
Paw Paw Paw,"\10,500","\9,900",https://directg.net/game/game_page.html?product_code=50003968,6%,,,Steam,https://image.directg.net/upload/product/goods_1675734734_simg.jpg,액션,12세 이용가
Destiny 2: Beyond Light Pack,"\22,000","\20,900",https://directg.net/game/game_page.html?product_code=50002847,5%,,,Steam,https://image.directg.net/upload/product/goods_1753148440_simg.jpg,액션/어드벤쳐,15세 이용가
Sakuna: Of Rice and Ruin,"\31,600","\31,600",https://directg.net/game/game_page.html?product_code=50004687,0%,,,Steam,https://image.directg.net/upload/product/goods_1713423231_simg.jpg,롤플레잉,12세 이용가
Age of Wonders: Planetfall - Star Kings,"\17,000","\15,400",https://directg.net/game/game_page.html?product_code=50002424,9%,,,Steam,https://image.directg.net/upload/product/goods_1605004038_simg.jpg,전략,15세 이용가
Warhammer: Chaosbane Slayer Edition,"\40,500","\33,000",https://directg.net/game/game_page.html?product_code=50002429,19%,,,Steam,https://image.directg.net/upload/product/goods_1605611407_simg.jpg,롤플레잉,19세 이용가
Warhammer: Chaosbane - Witch Hunter,"\10,500","\9,500",https://directg.net/game/game_page.html?product_code=50002430,10%,,,Steam,https://image.directg.net/upload/product/goods_1605611087_simg.jpg,롤플레잉,19세 이용가
The Falconeer,"\20,500","\19,800",https://directg.net/game/game_page.html?product_code=50002851,3%,,,Steam,https://image.directg.net/upload/product/goods_1627434332_simg.jpg,액션/어드벤쳐,12세 이용가
The Falconeer - Game Guide,"\4,400","\3,900",https://directg.net/game/game_page.html?product_code=50002853,11%,,,Steam,https://image.directg.net/upload/product/goods_1627436169_simg.jpg,액션/어드벤쳐,12세 이용가
Borderlands 3 Ultimate Edition,"\109,900","\104,400",https://directg.net/game/game_page.html?product_code=50002418,5%,,,Steam,https://image.directg.net/upload/product/goods_1604902472_simg.jpg,슈팅/액션/RPG,19세 이용가
Borderlands 3 Ultimate Edition,"\109,900","\104,400",https://directg.net/game/game_page.html?product_code=50002419,5%,,,Epic Games,https://image.directg.net/upload/product/goods_1604905256_simg.jpg,슈팅/액션/RPG,19세 이용가
Borderlands 3: Season Pass 2,"\34,000","\33,000",https://directg.net/game/game_page.html?product_code=50002420,3%,,,Steam,https://image.directg.net/upload/product/goods_1604905922_simg.jpg,슈팅/액션/RPG,19세 이용가
Borderlands 3: Season Pass 2,"\34,000","\33,000",https://directg.net/game/game_page.html?product_code=50002421,3%,,,Epic Games,https://image.directg.net/upload/product/goods_1604906428_simg.jpg,슈팅/액션/RPG,19세 이용가
Chicken Police - Paint it RED!,"\20,500","\19,800",https://directg.net/game/game_page.html?product_code=50005312,3%,,,Steam,https://image.directg.net/upload/product/goods_1741845750_simg.jpg,어드벤쳐,15세 이용가
Superliminal,"\21,500","\19,800",https://directg.net/game/game_page.html?product_code=50004905,8%,,,Steam,https://image.directg.net/upload/product/goods_1724916671_simg.jpg,액션/어드벤쳐,전체 이용가
SpellForce 3: Fallen God,"\20,500","\19,800",https://directg.net/game/game_page.html?product_code=50002416,3%,,,Steam,https://image.directg.net/upload/product/goods_1604034439_simg.jpg,롤플레잉,15세 이용가
Port Royale 4,"\47,200","\39,800",https://directg.net/game/game_page.html?product_code=50002345,16%,,,Steam,https://image.directg.net/upload/product/goods_1600147009_simg.jpg,전략,12세 이용가
Port Royale 4 Extended Edition,"\49,000","\41,800",https://directg.net/game/game_page.html?product_code=50002346,15%,,,Steam,https://image.directg.net/upload/product/goods_1600147021_simg.jpg,전략,12세 이용가
Stellaris: Necroids Species Pack,"\11,000","\9,900",https://directg.net/game/game_page.html?product_code=50002414,10%,,,Steam,https://image.directg.net/upload/product/goods_1603762494_simg.jpg,전략,전체 이용가
The Walking Dead: The Telltale Definitive Series,"\53,000","\49,800",https://directg.net/game/game_page.html?product_code=50004989,6%,,,Steam,https://image.directg.net/upload/product/goods_1729069016_simg.jpg,어드벤쳐,19세 이용가
PC Building Simulator - AORUS Workshop,"\6,500","\6,000",https://directg.net/game/game_page.html?product_code=50002911,8%,,,Steam,https://image.directg.net/upload/product/goods_1629169139_simg.png,시뮬레이션,전체 이용가
Spirit of the North,"\20,500","\19,800",https://directg.net/game/game_page.html?product_code=50005384,3%,,,Steam,https://image.directg.net/upload/product/goods_1745545246_simg.jpg,액션/어드벤쳐,전체 이용가
Ghostrunner,"\35,000","\29,800",https://directg.net/game/game_page.html?product_code=50002415,15%,,,Steam,https://image.directg.net/upload/product/goods_1603850849_simg.jpg,액션,19세 이용가
Carto,"\20,500","\19,800",https://directg.net/game/game_page.html?product_code=50003885,3%,,,Steam,https://image.directg.net/upload/product/goods_1671779227_simg.jpg,어드벤쳐,전체 이용가
Pumpkin Jack,"\32,000","\29,800",https://directg.net/game/game_page.html?product_code=50004024,7%,,,Steam,https://image.directg.net/upload/product/goods_1677811439_simg.jpg,어드벤쳐,12세 이용가
Transformers: Battlegrounds,"\26,000","\24,200",https://directg.net/game/game_page.html?product_code=50002396,7%,,,Steam,https://image.directg.net/upload/product/goods_1603112678_simg.jpg,전략,전체 이용가
