게임 이름,원가,할인가,사이트 URL,할인율,유저 평점,유저 리뷰,플랫폼 이름,이미지,장르,연령 등급
Crusader Kings II: Iberian Unit Pack,"\2,500","\2,300",https://directg.net/game/game_page.html?product_code=10001023,8%,,,Steam,https://image.directg.net/upload/product/goods_1477545311_simg.jpg,전략,12세 이용가
Crusader Kings II: Iberian Portraits,"\2,500","\2,300",https://directg.net/game/game_page.html?product_code=10001024,8%,,,Steam,https://image.directg.net/upload/product/goods_1477545329_simg.jpg,전략,12세 이용가
Crusader Kings II Ebook: Tales of Treachery,"\8,000","\7,200",https://directg.net/game/game_page.html?product_code=10001025,10%,,,Steam,https://image.directg.net/upload/product/goods_1511325411_simg.jpg,전략,12세 이용가
Crusader Kings II: Way of Life,"\9,000","\8,200",https://directg.net/game/game_page.html?product_code=10001026,9%,,,Steam,https://image.directg.net/upload/product/goods_1477544006_simg.jpg,전략,12세 이용가
BlazBlue: Continuum Shift Extend,"\19,800","\19,800",https://directg.net/game/game_page.html?product_code=10000952,0%,,,Steam,https://image.directg.net/upload/product/goods_1473395926_simg.jpg,액션,12세 이용가
Mount & Blade: Warband - Viking Conquest,"\18,000","\17,000",https://directg.net/game/game_page.html?product_code=50003413,6%,,,Steam,https://image.directg.net/upload/product/goods_1653976709_simg.jpg,전략,15세 이용가
Hegemony Rome: The Rise of Caesar - Advanced Tactics,"\5,000","\4,900",https://directg.net/game/game_page.html?product_code=10000953,2%,,,Steam,https://image.directg.net/upload/product/goods_1473398245_simg.jpg,전략,15세 이용가
Sid Meier's Civilization: Beyond Earth - Exoplanets Map Pack,"\3,300","\3,000",https://directg.net/game/game_page.html?product_code=10000941,9%,,,Steam,https://image.directg.net/upload/product/goods_1476418751_simg.jpg,전략,12세 이용가
This War of Mine,"\21,500","\2,900",https://directg.net/game/game_page.html?product_code=50004304,87%,,,Steam,https://image.directg.net/upload/product/goods_1691644011_simg.jpg,시뮬레이션,19세 이용가
Borderlands: The Pre-Sequel - Handsome Jack Doppelganger Pack,"\10,500","\8,800",https://directg.net/game/game_page.html?product_code=10000935,16%,,,Steam,https://image.directg.net/upload/product/goods_1513238429_simg.jpg,액션,19세 이용가
Tropico 5 - Joint Venture,"\4,700","\3,900",https://directg.net/game/game_page.html?product_code=10000937,17%,,,Steam,https://image.directg.net/upload/product/goods_1477549683_simg.jpg,전략,12세 이용가
"Europa Universalis IV: Guns, Drums and Steel music pack","\3,000","\2,800",https://directg.net/game/game_page.html?product_code=10000927,7%,,,Steam,https://image.directg.net/upload/product/goods_1477541042_simg.jpg,전략,12세 이용가
Europa Universalis IV: Evangelical Union Unit Pack,"\2,500","\2,300",https://directg.net/game/game_page.html?product_code=10000924,8%,,,Steam,https://image.directg.net/upload/product/goods_1482379229_simg.jpg,전략,12세 이용가
Europa Universalis IV: Catholic League Unit Pack,"\2,500","\2,300",https://directg.net/game/game_page.html?product_code=10000925,8%,,,Steam,https://image.directg.net/upload/product/goods_1491556431_simg.jpg,전략,12세 이용가
Europa Universalis IV: Songs of War Music Pack,"\2,500","\2,300",https://directg.net/game/game_page.html?product_code=10000926,8%,,,Steam,https://image.directg.net/upload/product/goods_1482379254_simg.jpg,전략,12세 이용가
