게임 이름,원가,할인가,사이트 URL,할인율,유저리뷰수,유저댓글,플랫폼 이름,이미지 URL,장르,연령 등급
WUCHANG: Fallen Feathers,"₩ 59,800","₩ 10,000",https://store.steampowered.com/app/2277560/WUCHANG_Fallen_Feathers/,83%,28379,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2277560/7ad08d174b97880d3f611a068991b98471d1eb9c/capsule_sm_120.jpg?t=1753385571,"Action, Adventure, RPG",정보 없음
Wallpaper Engine,"₩ 5,600","₩ 5,600",https://store.steampowered.com/app/431960/Wallpaper_Engine/,0%,9919,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/431960/capsule_sm_120.jpg?t=1739211362,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",정보 없음
嗜血印 Bloody Spell,"₩ 26,000","₩ 35,110",https://store.steampowered.com/app/992300/_Bloody_Spell/,-35%,1276,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/992300/capsule_sm_120.jpg?t=1749697130,"Action, Adventure, Indie, RPG",정보 없음
STAR WARS Jedi: Survivor™,"₩ 77,000","₩ 22,000",https://store.steampowered.com/app/1774580/STAR_WARS_Jedi_Survivor/,71%,1684,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1774580/capsule_sm_120.jpg?t=1748945254,"Action, Adventure",정보 없음
Fallout 76,정보 없음,정보 없음,https://store.steampowered.com/app/1151340/Fallout_76/,0%,정보 없음,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1151340/9fafce9a7ffd86523c6c3b4dbd755249a8538592/capsule_sm_120.jpg?t=1750779334,정보 없음,정보 없음
Assetto Corsa,"₩ 20,500","₩ 22,470",https://store.steampowered.com/app/244210/Assetto_Corsa/,-9%,1646,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/244210/d63fc060c13548861637663b085339a4d9a37781/capsule_sm_120.jpg?t=1730473196,"Indie, Racing, Simulation, Sports",정보 없음
DELTARUNE,"₩ 29,800","₩ 19,800",https://store.steampowered.com/app/1671210/DELTARUNE/,33%,12950,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1671210/capsule_sm_120.jpg?t=1749252480,"Indie, RPG",정보 없음
Schedule I,"₩ 21,500","₩ 21,500",https://store.steampowered.com/app/3164500/Schedule_I/,0%,8473,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3164500/986ee9a7a25cb0e61d1530cc3cd7e3e06aa68733/capsule_sm_120.jpg?t=1751926051,"Action, Indie, Simulation, Strategy, Early Access",정보 없음
OMSI 2: Steam Edition,"₩ 32,000","₩ 2,000,910",https://store.steampowered.com/app/252530/OMSI_2_Steam_Edition/,-6152%,86,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/252530/capsule_sm_120.jpg?t=1742297436,"Casual, Simulation",정보 없음
Stronghold Crusader: Definitive Edition,"₩ 21,500","₩ 34,200",https://store.steampowered.com/app/3024040/Stronghold_Crusader_Definitive_Edition/,-59%,3818,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3024040/0cbdbc8f353e170207b9f797d41473bb7681d51e/capsule_sm_120_alt_assets_0.jpg?t=1753292258,"Simulation, Strategy",정보 없음
