이름,링크,이미지,할인률,할인가,정가,DRM
Gal*Gun: Double Peace,https://www.greenmangaming.com/games/galgun-double-peace/,https://images.greenmangaming.com/ec31cae6ad0d449aac0278dbf3f97df0/4c839b93c0ab479b8fc609f4943f844a.jpg,-91%,"₩2,800","₩32,000",Steam
White Day: A Labyrinth Named School,https://www.greenmangaming.com/games/white-day-a-labyrinth-named-school/,https://images.greenmangaming.com/d3ecb5fb4b754ef187950dbf7588e5b8/acb4cd24bb934086a8f54ce7c9742ce8.jpg,-91%,"₩2,800","₩32,000",Steam
DRAGON QUEST I & II HD-2D Remake,https://www.greenmangaming.com/games/dragon-quest-i-ii-hd2d-remake-pc/,https://images.greenmangaming.com/9d07d5e7b5e848e6b077ed21ca18a053/e2b988ad53d54574842f3750bb379789.jpg,0%,"₩69,800","₩69,800",Steam
Wavetale,https://www.greenmangaming.com/games/wavetale-pc/,https://images.greenmangaming.com/7cf890e8a2a2492dba12e754f35bb870/2cdf307bcbf640608a856950617d2fdf.jpg,-90%,"₩3,200","₩32,000",Steam
The Quarry Deluxe Edition,https://www.greenmangaming.com/games/the-quarry-deluxe-edition-pc/,https://images.greenmangaming.com/91514b6cafa64b43bf53ec43555f20a2/67ac9ac0eb194243af1226fefeae6346.jpg,-86%,"₩10,300","₩76,000",Steam
Scribblenauts Unmasked: A DC Comics Adventure,https://www.greenmangaming.com/games/scribblenauts-unmasked-a-dc-comics-adventure/,https://images.greenmangaming.com/66b7a502a07b4abe8d9d96e314e9db5b/c9e6fb34a2914fc6aecd1cb2fc4c7a44.jpg,-92%,"₩1,700","₩21,000",Steam
XCOM: Ultimate Collection,https://www.greenmangaming.com/games/xcom-ultimate-collection-pc/,https://images.greenmangaming.com/f76f001637d9423186a03bf9b410b9a8/2110da8b0b42490e988f9e5dafdd4433.jpg,-88%,"₩19,000","₩161,600",Steam
Borderlands: The Pre-Sequel,https://www.greenmangaming.com/games/borderlands-the-pre-sequel/,https://images.greenmangaming.com/160f02d28ec94f4fa93dfbeb0846f7dc/4c7cf42ba911431b8af0035016a3e65b.jpg,-91%,"₩3,900","₩43,000",Steam
F.E.A.R Pack,https://www.greenmangaming.com/games/fear-pack/,https://images.greenmangaming.com/39db90c566774600b2d83d88b5372651/9c6d5d3232da4ac7b88f8d913587249a.jpg,-88%,"₩7,200","₩59,000",Steam
Strange Brigade - Deluxe Edition,https://www.greenmangaming.com/games/strange-brigade-deluxe-edition-pc/,https://images.greenmangaming.com/c79749e72235436dadb749e026921894/b3cdb20cc0584520bed87e750902911f.jpg,-92%,"₩6,800","₩82,000",Steam
Sniper Elite 4,https://www.greenmangaming.com/games/sniper-elite-4/,https://images.greenmangaming.com/a3f1cdb725cc49a790bcff0a79318f4d/8adf15a8da9444e8b42cf4de637dc9e8.jpg,-92%,"₩5,400","₩65,000",Steam
Resident Evil 4 Gold Edition,https://www.greenmangaming.com/games/resident-evil-4-gold-edition-pc/,https://images.greenmangaming.com/e5b71588817b443b89f97221716245bc/0eba3b36ef6b427eaecae8edc209c7da.jpg,-46%,"₩33,400","₩61,800",Steam
GUILTY GEAR Xrd -SIGN-,https://www.greenmangaming.com/games/guilty-gear-xrd-sign-pc/,https://images.greenmangaming.com/da27077581794088b7cec9ea1e8f3244/0ac0d41c8dd84d1f997fb5c978b544b9.jpg,-90%,"₩3,200","₩32,000",Steam
Livelock,https://www.greenmangaming.com/games/livelock/,https://images.greenmangaming.com/1f96b239dbfc46b1af8548bcedef829e/3e6b89f89f1b42f582b7201a9efe41ab.jpg,-90%,"₩1,000","₩10,500",Steam
Backpack Battles,https://www.greenmangaming.com/games/backpack-battles-pc/,https://images.greenmangaming.com/bc15164794c74397b538a77a4468f5d0/a7bc526ec7894b5ab08b5d4dfc519b7e.jpg,-32%,"₩11,300","₩16,500",Steam
